model,clip,ground_truth,hypothesis,wer,latency_s
tiny.en,2412-153954-0018,they felt my pulse they looked at my tongue they listened at my chest they felt all my muscles and at the end of each operation they looked at the chief and nodded and said something in a tone quite pleasant as though i were all right,"They felt my pulse, they looked at my tongue, they listened at my chest, they felt all my muscles, and at the end of each operation they looked at the cheap and knotted. And said something in a tone quite pleasant as though I were alright.",0.0851,0.1066
tiny.en,5338-284437-0005,these intruders are very peculiar people remarked a man in the crowd,"These intruders are very peculiar people, remark to man in the crowd.",0.1667,0.0448
tiny.en,1462-170142-0013,it it hasn't always made you miserable has it,"It hasn't always made you miserable, has it?",0.1111,0.0343
tiny.en,7976-105575-0023,they lay in heaps of dozens even close up to the works,"They lay in heaps of dozens, even close up to the works.",0.0000,0.0393
tiny.en,3081-166546-0010,i know it sounds foolish but the alternative is so improbable,"I know it sounds foolish, but the alternative is so improbable.",0.0000,0.0365
tiny.en,2035-147961-0033,they were run out of their village,They were run out of their village.,0.0000,0.0605
tiny.en,5694-64029-0022,the leaden hail storm swept them off the field they fell back and re formed,The lead and hail storm swept them off the field. They fell back and reformed.,0.2667,0.0518
tiny.en,3752-4943-0014,you can guess what that unhappy boy has suffered,You can guess what that unhappy boy has suffered.,0.0000,0.0364
tiny.en,6345-93302-0008,he had been late he had offered no excuse no explanation,"He had been late. He had offered no excuse, no explanation.",0.0000,0.0462
tiny.en,1919-142785-0016,illustration the lemon,"Illustration, the lemon.",0.0000,0.0333
tiny.en,1272-141231-0018,a red haired mountain of a man with an apparently inexhaustible store of energy,A red-haired mountain of a man with an apparently inexhaustible store of energy.,0.1429,0.0812
tiny.en,84-121123-0009,do you know the assassin asked morrel,"Do you know the assassin, Esmerel?",0.2857,0.0346
tiny.en,8297-275155-0029,it was a relief to randal in the present state of catherine's relations toward bennydeck to return to london without having seen his friend,It was a relief to Randall in the present State of Catherine's relations toward Benedict to return to London without having seen his friend.,0.0833,0.0648
tiny.en,7976-110523-0001,how can we feed our children when we have no more than we can eat ourselves,How can we feed our children when we have no more than we can eat ourselves?,0.0000,0.0460
tiny.en,6319-64726-0010,he entered a large forecourt and stood still with amazement and awe,He entered a large forecourt and stood still with amazement and awe.,0.0000,0.0421
tiny.en,1462-170142-0025,hilda's face quivered but she whispered yes i think it must have been,"held his face quivered, but she whispered, yes, I think it must have been.",0.1538,0.0528
tiny.en,174-168635-0005,cosette on her side had also unknown to herself become another being poor little thing,"Cosette, on her side, had also unknown to herself become another being. Poor little thing.",0.0000,0.0504
tiny.en,7976-105575-0021,the cloud of rebels we had seen divided itself into three columns,The cloud or rebels we had seen divided itself into three columns.,0.0833,0.0383
tiny.en,3170-137482-0009,in every one of the seventy two parishes of the city of venice there is a large public house called magazzino,"In every one of the 72 parishes of the city of Venice, there is a large public house called Magazino.",0.1429,0.0989
tiny.en,5694-64029-0024,i saw and felt that he was not fighting for glory but that he was fighting for his country because he loved that country and he was willing to give his life for his country and the success of our cause,"I saw and felt that he was not fighting for glory, but that he was fighting for his country because he loved that country. And he was willing to give his life for his country and the success of our cause.",0.0000,0.1140
tiny.en,251-118436-0005,the man shrugged his broad shoulders and turned back into the arabesque chamber,The man shrugged his broad shoulders and turned back into the Arabesque chamber.,0.0000,0.0441
tiny.en,1919-142785-0010,solid rocks of salt are also found in various parts of the world and the county of chester contains many of these mines and it is from there that much of our salt comes,"Solid rocks of salt are also found in various parts of the world, and in the country of Chester contains many of these mines. And it is from there that much of our salt comes.",0.0588,0.1344
tiny.en,7976-110124-0015,then she heard him go down the stairway and unbolt the heavy doors which led into the store,Then she hurt him go down the stairway and unbolt the heavy doors which led into the store.,0.0556,0.0511
tiny.en,2035-152373-0016,the tribute was at this period enormous fifteen thousand head of cattle annually,"The tribute was at this period enormous. 15,000 head of cattle annually.",0.1538,0.0481
tiny.en,1993-147149-0005,she stopped with her hand on the latch of the wilsons door to still her beating heart and listened to the hushed quiet within,"She stopped with her hand on the latch of the Wilson's door to steal her beating heart, and listened to the hushed quiet within.",0.0833,0.0816
tiny.en,2277-149896-0003,he also thought of his managerial position,He also thought of his managerial position.,0.0000,0.0435
tiny.en,2412-153947-0001,this is a mistake though a perfectly natural one,This is a mistake though a perfectly natural one.,0.0000,0.0502
tiny.en,3752-4943-0021,he had hardly uttered the words when the boy flung himself beneath the log,He had hardly uttered the words when the boy flung himself and eat the log.,0.1429,0.0405
tiny.en,1272-141231-0000,a man said to the universe sir i exist,"A man said to the universe, Sir, I exist.",0.0000,0.0350
tiny.en,2035-152373-0003,the poets of succeeding ages have dwelt much in detail on the occurrences of this memorable day,The poets of succeeding ages have dwelt much in detail on the occurrences of this memorable day.,0.0000,0.0444
tiny.en,777-126732-0067,mister verloc's anxieties had prevented him from attaching any sense to what his wife was saying,Mr. Verlox and Ziodes had prevented him from attaching any sense to what his wife was saying.,0.2500,0.0961
tiny.en,1988-148538-0011,in aristocratic countries the great possess immense privileges upon which their pride rests without seeking to rely upon the lesser advantages which accrue to them,"In aristocratic countries, the great possess immense privileges upon which their pride rests without seeking to rely upon the lesser advantages which accrues them.",0.0800,0.0863
tiny.en,3752-4943-0008,and beat on the bars with white and sweating hands,and beat on the bars with white and sweating hands.,0.0000,0.0361
tiny.en,7976-105575-0016,once in the night i slipped away from the bivouac and hurried to the old tishimingo hotel to see a lieutenant of my company who had been shot through the breast,"Once in a night, I slipped away from the Bivowack and hurried to the old Tishamingo Hotel to see a lieutenant of my company who had been shot for the breast.",0.1290,0.0821
tiny.en,1988-24833-0022,i told tom we shouldn't come so late says hilda,I told Tom we shouldn't come so late to tilde.,0.2000,0.0382
tiny.en,777-126732-0026,he had been a prisoner himself,He had been a prisoner himself.,0.0000,0.0312
tiny.en,8842-302203-0000,and at the first it seemed to me that i saw certain faces of women with their hair loosened which called out to me thou shalt surely die after the which other terrible and unknown appearances said unto me thou art dead,"And at the first it seemed to me that I saw certain faces of women with their hair loosened, which called out to me, they'll shout to Shirley die. After the witch, other terrible and unknown appearances said unto me, that weren't dead.",0.1667,0.2053
tiny.en,1462-170145-0015,i've been up in canada with my bridge and i arranged not to come to new york until after you had gone,I've been up in Canada with my bridge and I arranged not to come to New York until after you had gone.,0.0000,0.0680
tiny.en,8842-302203-0009,this lady's right name was joan but because of her comeliness or at least it was so imagined she was called of many primavera spring and went by that name among them,"This lady's right name was Joan, but because of her comeliness, or at least it was so imagined, she was called of many, but imma vera, spring, and went by that name among them.",0.0938,0.1069
tiny.en,8297-275154-0001,the sailing master announced that he had orders to take the vessel back to her port with no other explanation than that the cruise was over,"The sailing master announced that he had orders to take the vessel back to her port, with no other explanation than that the cruise was over.",0.0000,0.0628
tiny.en,3576-138058-0019,give me my horse and arms and wait for me here i will go in quest of this knight and dead or alive i will make him keep his word plighted to so great beauty,"Give me my horse and arms, and wait for me here. I will go in quest of this night, and dead or alive, I will make him keep his word to so great beauty.",0.0571,0.1659
tiny.en,6241-61943-0011,nearly the whole population of the town was on foot to see us land,Nearly the whole population of the town was on foot to see us land.,0.0000,0.0414
tiny.en,174-50561-0005,lady lady my rose white lady but will you not hear a roundel lady,"Lady, lady, my rose white lady, but will you not hear a round of lady?",0.1429,0.0524
tiny.en,2277-149896-0025,he arose from his chair and went and looked out into the street,He arose from his chair and went and looked out into the street.,0.0000,0.0814
tiny.en,3853-163249-0014,david was sober enough now and went about his work with a grim set to his lips and a spark in his eyes that made the three women look at one another pale with unspoken apprehension,David was sober enough now and went about his work with a grim set to his lips and to spark in his eyes that made the three women look at one another pale with unspoken apprehension.,0.0278,0.1513
tiny.en,7976-110124-0007,he is old as well as poor she said,"He is old as well as poor, she said.",0.0000,0.0358
tiny.en,1272-135031-0023,kaliko went to the big gong and pounded on it just as ruggedo used to do but no one answered the summons,"Calico went to the big gong and pounded on it just as we're good to be used to do, but no one answered the summons.",0.2273,0.0766
tiny.en,3536-23268-0014,if you think so madam i see nothing that should prevent me now,"If you think so, Madam, I see nothing that should prevent me now.",0.0000,0.0451
tiny.en,6345-93306-0003,and again he listened with a quiet pleasure,"And again, he listened with a quiet pleasure.",0.0000,0.0359
tiny.en,1988-147956-0000,fuchs brought up a sack of potatoes and a piece of cured pork from the cellar and grandmother packed some loaves of saturday's bread a jar of butter and several pumpkin pies in the straw of the wagon box,"Fooks brought up a sack of potatoes and a piece of cured pork from the cellar, and a grandmother packed some loaves of Saturday's bread, a jar of butter, and several pumpkin pies in the straw of the wagon box.",0.0513,0.1365
tiny.en,777-126732-0051,he looked dubiously at his brother in law but he did not ask him for information,"He looks dubiously at his brother-in-law, but he did not ask him for information.",0.2500,0.0720
tiny.en,2803-161169-0005,walk down the sloping foot path now and be careful to keep out of the way of the little cars that are coming and going on each side of you loaded on one side and empty on the other and seeming to run up and down by themselves,Walk down the sloping footpath now and be careful to keep out of the way of the little cars that are coming and going on each side of you Load it on one side and empty on the other and seeming to run up and down by themselves,0.0833,0.1187
tiny.en,7850-281318-0009,so in a great company they came fluttering hopping twittering up to the elm tree where mother magpie nestled comfortably in her new house,"So in a great company they came fluttering, hopping, twittering up to the Elm tree where Mother Mayak pie nestled comfortably in her new house.",0.0833,0.0735
tiny.en,2412-153947-0009,i also wrote about this time the substance of what ultimately became the musical banks and the trial of a man for being in a consumption,I also wrote about this time the substance of what ultimately became the musical banks and the trial of a man for being in a consumption.,0.0000,0.0740
tiny.en,1462-170138-0021,he bowed as the warning bell rang and mainhall whispered you know lord westmere of course the stooped man with the long gray mustache talking to lady dowle,"He bowed as the warning bell rang, and Main Hall whispered, you know, Lord Westmere, of course, the stooped man with the long grey mustache talking to Lady Dowl.",0.1429,0.0965
tiny.en,2803-161169-0014,but by and by the wise men thought about it and said to themselves we must find out what useful purpose god made the gas for we know that he does not make any thing for harm only,"But by and by the wise men thought about it and said to themselves, we must find out what useful purpose God made the gas for. We know that He does not make anything for harm only.",0.0526,0.0978
tiny.en,6313-66129-0020,the great green field surrounded on all sides by tall trees made the place an ideal one for their purpose,"The great green-filled, serended on all sides by tall trees made to place an ideal one for their purpose.",0.2000,0.1282
tiny.en,3081-166546-0059,i suppose she has been carefully questioned very i should say,"I suppose she has been carefully questioned. Very, I should say.",0.0000,0.0763
tiny.en,6345-93306-0019,you see papa's so very rich and at home they expect me to to get acquainted with dukes and things and she stopped,"You see, Papazzo very rich, and at home they expect me to get acquainted with dukes and things and she stopped.",0.1304,0.0607
tiny.en,1272-135031-0015,the metal forest is in the great domed cavern the largest in all our dominions replied kaliko,"The middle forest is in the Great Doned Cavern, the largest in all our demigions, Ripland, Calico.",0.2941,0.0773
tiny.en,5536-43358-0019,the historians of the white race admit that the indian was never the first to repudiate his oath,The historians of the white race admit that the Indian was never the first to repudiate his oath.,0.0000,0.0864
tiny.en,7976-105575-0010,fifteen officers of our little half regiment were dead or wounded,15 officers of our little half regiment were dead or wounded.,0.0909,0.0369
tiny.en,1673-143397-0014,during a busy period of three months the emperor tried every method except the most effectual means of indifference and contempt to reconcile this theological quarrel,"During a busy period of three months, the emperor tried every method except the most effectual means of indifference and contempt to reconcile this theological quarrel.",0.0000,0.0679
tiny.en,7976-105575-0011,i remained awake all night talking with a comrade who shared my blanket with me poor jimmy king,"I remained awake all night, talking with a comrade who shared my blanket with me. Poor Jimmy King.",0.0000,0.0932
tiny.en,3081-166546-0027,however a little later we had a comfortable chat,"However, a little later we had a comfortable chat.",0.0000,0.0360
tiny.en,652-130737-0009,lacrima christi a still wine of excellent flavor and bouquet,"La crema creasty, a still wine of excellent flavor in bouquet.",0.4000,0.0426
tiny.en,6313-76958-0009,the cowboy did this very thing but within an hour he found himself alone the others having turned in one by one,"The cowboy did this very thing, but within an hour he found himself alone, the others having turned in one by one.",0.0000,0.0614
tiny.en,3536-8226-0002,at last he sent word to say that he himself would be in england before the end of march and would see that the majesty of the law should be vindicated in his favour,"At last he sent word to say that he himself would be in England before the end of March, and would see that the majesty of the law should be vindicated in his favor.",0.0294,0.0872
tiny.en,251-137823-0002,this isn't part of your testing routine is it,"This isn't part of your testing routine, is it?",0.0000,0.0706
tiny.en,251-118436-0001,i tell you it is not poison she cried,I tell you it is not poison. She cried.,0.0000,0.0731
tiny.en,2428-83705-0039,p s the cards are out for the wedding,"PS, the cards are out for the wedding.",0.2222,0.0345
tiny.en,8842-302203-0011,the second part begins here saying be now the third here then while it was his pleasure,"The second part begins here, saying, Be now. The third here. Then while it was his pleasure.",0.0000,0.1371
tiny.en,2086-149220-0010,they kept themselves alive unquestionably and laid now and then an egg and hatched a chicken not for any pleasure of their own but that the world might not absolutely lose what had once been so admirable a breed of fowls,"They kept themselves alive unquestionably and laid now and then an egg and hatched a chicken, not for any pleasure of their own, but that the world might not absolutely lose what had once been so admirable a breed of fouls.",0.0244,0.1619
tiny.en,6319-64726-0018,then the prince took the princess by the hand she was dressed in great splendour but he did not hint that she looked as he had seen pictures of his great grandmother look he thought her all the more charming for that,"Then the prince took the princess by the hand. She was dressed in great splendor, but he did not hint that she looked as he had seen pictures of his great grandmother look. He thought her all the more charming for that.",0.0238,0.1199
tiny.en,2428-83699-0022,i did not know what he meant,I did not know what he meant.,0.0000,0.0309
tiny.en,3752-4944-0047,then captain burgess cried north his pale face flushing i tell you the boy's blood will be on your head,"Then Captain Burgess cried north, his pale face flushing. I tell you the boys blood will be on your head.",0.0500,0.0722
tiny.en,1919-142785-0056,fried bread crumbs,Fried bread crumbs.,0.0000,0.0267
tiny.en,2035-147960-0003,there had been another black frost the night before and the air was clear and heady as wine,There had been another black frost the night before and the air was clear and heady as wine.,0.0000,0.0497
tiny.en,2277-149897-0029,he did manage to bring himself into the mood to go out to carrie but when he got in ogden place he thought he saw a man watching him and went away,"He did manage to bring himself into the mood to go out to carry. But when he got in Ogden Place, he thought he saw a man watching him and went away.",0.0312,0.0774
tiny.en,652-130726-0017,of course these are not the entire menus but of all the well prepared dishes these are their best,"Of course, these are not the entire menus, but of all the well-prepared dishes, these are their best.",0.1053,0.0724
tiny.en,2277-149896-0026,the long drizzle had begun pedestrians had turned up collars and trousers at the bottom,The long drizzle had begun. Pedestrians had turned up collars and trousers at the bottom.,0.0000,0.1014
tiny.en,6345-93306-0006,then she turned towards the quarter indicated and disappeared round the laurel bushes,then she turned towards the quarter indicated and disappeared round the Laurel bushes.,0.0000,0.0397
tiny.en,6241-61943-0003,my uncle was delighted for myself moody and dissatisfied i appeared almost to expect a glimpse of the ghost of hamlet,"My uncle was delighted. For myself, Moody and DeSatisfied, I appeared almost to expect a glimpse of the ghost of Hamlet.",0.0476,0.0627
tiny.en,2277-149896-0000,he was in a fevered state of mind owing to the blight his wife's action threatened to cast upon his entire future,"He was in a fevered state of mind, owing to the blight his wife's action threatened to cast upon his entire future.",0.0000,0.0662
tiny.en,6241-61943-0027,the men appeared robust but heavy fair haired like germans but of pensive mien exiles of a higher scale in the ladder of humanity than the eskimos but i thought much more unhappy since with superior perceptions they are compelled to live within the limits of the polar circle,"The men appeared robust but heavy, fair-haired like Germans, but of pensive mean. Exiles of a higher scale in the latter of humanity than the Eskimos, but I thought much more unhappy. Since with superior perceptions, they are compelled to live within the limits of the polar circle.",0.0816,0.1280
tiny.en,7850-281318-0017,here wood pigeon said mother magpie you must place those sticks through and across criss cross criss cross so,"Here, Wood Pigeon said Mother Bag pie. You must play so sticks through and across, crisscross, crisscross, sew.",0.4737,0.0672
tiny.en,3576-138058-0027,the servants wept claudia swooned away again and again and the whole place seemed a field of sorrow and an abode of misfortune,"The servants wept. Claudia swooned away again and again, and the whole place seemed a field of sorrow and an and a boat of misfortune.",0.1304,0.1098
tiny.en,7850-73752-0015,was it not all a dream of his own creation while his eye had been fixed in abstraction on that bright and flowing river,Was it not all a dream of his own creation while his eye had been fixed in abstraction on that bright and flowing river?,0.0000,0.0510
tiny.en,1462-170142-0029,yes hilda i know that he said simply,"Yes, Hilda, I know that. He said simply.",0.0000,0.0364
tiny.en,8297-275154-0014,you don't know what it is to be used to seeing a pretty creature always nicely dressed always about the room thinking so much of you and so little of herself and then to be left alone as i am left out in the dark,"You don't know what it is to be used to seeing a pretty creature always nicely dressed, always about the room, thinking so much of you and so little of herself. And then to be left alone as I am left, out in the dark.",0.0000,0.1799
tiny.en,422-122949-0021,the greater the danger the greater is the need of agreeing quickly and readily about what is necessary not to misunderstand one another in danger that is what cannot at all be dispensed with in intercourse,"The greater the danger, the greater is the need of agreeing quickly and readily about what is necessary. Not to misunderstand one another in danger. That is what cannot at all be dispensed with in intercourse.",0.0000,0.0874
tiny.en,6241-61946-0017,to ride over salt water upon the back of a little horse seemed to me absurd,To write a result water upon the back of a little horse seemed to me absurd,0.1875,0.0845
tiny.en,777-126732-0022,there was an extraordinary force of suggestion in this posturing,There was an extraordinary force of suggestion in this posturing.,0.0000,0.0359
tiny.en,3752-4944-0001,abandoned indeed by god and man almost,"Abandoned Indeed by God and Man, Almost.",0.0000,0.0635
tiny.en,2086-149220-0013,so wise as well as antique was their aspect as to give color to the idea not merely that they were the descendants of a time honored race but that they had existed in their individual capacity ever since the house of the seven gables was founded and were somehow mixed up with its destiny,"So wise, as well as antique, was their aspect as to give color to the idea, not merely that they were the descendants of a time-honored race, but that they had existed and their individual capacity ever since the House of the Seven Gables was founded and were somehow mixed up with its destiny.",0.0545,0.1434
tiny.en,6241-61943-0019,in the meantime there is not an hour to lose,"In the meantime, there is not an hour to lose.",0.0000,0.0615
tiny.en,1919-142785-0000,illustration long pepper,illustration long pepper.,0.0000,0.0451
tiny.en,652-130737-0006,german wines are of lighter character and are generally termed rhein wines,German wines are of lighter character and are generally termed Rhine wines.,0.0833,0.0899
tiny.en,2277-149897-0034,dear sir we beg to inform you that we are instructed to wait until to morrow thursday at one o'clock before filing suit against you on behalf of missus julia hurstwood for divorce and alimony,"Dear sir, we beg to inform you that we are instructed to wait until tomorrow Thursday at 1 o'clock before filing suit against you on behalf of Mrs. Julia Hurstwood for Divorce and Alimony.",0.1143,0.1522
tiny.en,7976-110523-0000,he had little enough to break or bite and once when there was a great famine in the land he could hardly procure even his daily bread and as he lay thinking in his bed one night he sighed and said to his wife what will become of us,"He had little enough to break her bite, and once when there was a great famine in the land, he could hardly procure even his daily bread. And as he lay thinking in his bed one night, he sighed and said to his wife, What will become of us?",0.0204,0.1478
tiny.en,5338-24615-0012,this work of art was the wonder of the country ten miles round,This work of art was the wonder of the country 10 miles round.,0.0769,0.0582
tiny.en,1673-143397-0020,a wandering tribe of the blemmyes or nubians invaded his solitary prison in their retreat they dismissed a crowd of useless captives but no sooner had nestorius reached the banks of the nile than he would gladly have escaped from a roman and orthodox city to the milder servitude of the savages,"A wandering tribe of the Blemies, or Nubians, invaded his solitary prison. In their retreat, they dismissed a crowd of useless captives, but no sooner had Nisterius reached the banks of the Nile, than he would gladly have escaped from a Roman and Orthodox city to the milder servitude of the savages.",0.0385,0.1639
tiny.en,2086-149220-0001,the white double rosebush had evidently been propped up anew against the house since the commencement of the season and a pear tree and three damson trees which except a row of currant bushes constituted the only varieties of fruit bore marks of the recent amputation of several superfluous or defective limbs,"The white double rose bush had evidently been propped up anew against the house since the commencement of the season, and the paretry and three damncentries which, except a row of current bushes, constituted the only varieties of fruit, bore marks of the recent amputation of several superfluous or defective limbs.",0.1538,0.1363
tiny.en,777-126732-0016,alexander ossipon got up tall in his threadbare blue serge suit under the low ceiling shook off the stiffness of long immobility and strolled away into the kitchen down two steps to look over stevie's shoulder,"Alexander Osipin got up tall on his thread-bear blue surge suit under the low ceiling. Shook off the stiffness of long immobility, installed the way into the kitchen down two steps to look over Stevie's shoulder.",0.1944,0.1105
tiny.en,2902-9006-0017,climate bad example and the luxury of power degraded them in one century into a race of helpless and debauched slave holders doomed to utter extermination before the semi gothic armies of belisarius and with them vanished the last chance that the gothic races would exercise on the eastern world the same stern yet wholesome discipline under which the western had been restored to life,"Climate, bad example and the luxury of power degraded them in one century into a race of helpless and debauched slaveholders, doomed to utter extermination before the semi-gothic armies of Belisarius. And with them vanished the last chance that the gothic races would exercise on the eastern world the same stern yet wholesome discipline under which the Western had been restored to life.",0.0615,0.1804
tiny.en,2035-147961-0009,the sick man raged and shook his fist,The sick man raged and shook his fist.,0.0000,0.0648
tiny.en,2078-142845-0028,move it backwards and forwards until the bread is nicely coloured then turn it and toast the other side and do not place it so near the fire that it blackens,Move it backwards and forwards until the bread is nicely colored. Then turn it and toast the other side. And do not place it so near the fire that it blackens.,0.0323,0.0785
tiny.en,5694-64029-0025,i thought it had been torn from my shoulder,I thought it had been torn from my shoulder.,0.0000,0.0321
tiny.en,2412-153954-0024,he began presently to relent and spoke to me in a kinder manner,He began presently to relent and spoke to me in a kinder manner.,0.0000,0.0394
tiny.en,1462-170145-0017,i'm going to do what you asked me to do when you were in london,I'm going to do what you asked me to do when you were in London.,0.0000,0.0416
tiny.en,251-118436-0020,your cry and the grip of your fingers brought me back but i am going fast,"You'll cry and the grip of your fingers brought me back, but I am going fast.",0.0625,0.0584
tiny.en,1673-143396-0016,the worthy friend of athanasius the worthy antagonist of julian he bravely wrestled with the arians and polytheists and though he affected the rigor of geometrical demonstration his commentaries revealed the literal and allegorical sense of the scriptures,"The worthy friend of Athanasius, the worthy antagonist of Julian, he bravely wrestled with the Aryans and Polytheists, and though he affected the rigor of geometrical demonstration, his commentaries revealed the literal and allegorical sense of the scriptures.",0.0263,0.1439
tiny.en,3752-4944-0049,damn your impertinence sir burst out burgess,"Damn, you're important that serve burst out, Burgess.",0.5714,0.0346
tiny.en,1673-143396-0004,he lived and died for the service of mankind but the life and death of socrates had likewise been devoted to the cause of religion and justice and although the stoic or the hero may disdain the humble virtues of jesus the tears which he shed over his friend and country may be esteemed the purest evidence of his humanity,"He lived and died for the service of mankind, but the life and death of Socrates had likewise been devoted to the cause of religion and justice. And although the stoic or the hero may disdain the humble virtues of Jesus, the tears which he shed over his friend and country may be esteemed the purest evidence of his humanity.",0.0000,0.1561
tiny.en,777-126732-0074,he knows no better he gets into his passions over it,He knows no better. He gets into his passions over it.,0.0000,0.0498
tiny.en,1919-142785-0057,the fat they are fried in should be clear and the crumbs should not have the slightest appearance or taste of having been in the least degree burnt,The fat there fried in should be clear and the crumbs should not have the slightest appearance or taste of having been in the least degree burnt.,0.0714,0.0581
tiny.en,6345-93306-0010,he had no time to think but he was aware that this was the most exciting adventure that had ever happened to him,"He had no time to think, but he was aware that this was the most exciting adventure that had ever happened to him.",0.0000,0.0534
tiny.en,1988-148538-0003,this is more especially the case amongst those free nations which form democratic communities,This is more especially the case amongst those free nations which form democratic communities.,0.0000,0.0394
tiny.en,251-137823-0022,he smiled guiltily as he added but i must admit i was more than a little concerned myself,"He smiled guiltily as he added. But I must admit, I was more than a little concerned myself.",0.0000,0.0531
tiny.en,1673-143396-0012,in their eyes jesus of nazareth was a mere mortal the legitimate son of joseph and mary but he was the best and wisest of the human race selected as the worthy instrument to restore upon earth the worship of the true and supreme deity,"In their eyes, Jesus of Nazareth was a mere mortal. The legitimate son of Joseph and Mary, but he was the best and wisest of the human race. Selected as the worthy instruments to restore upon earth the worship of the true and supreme deity.",0.0222,0.1942
tiny.en,777-126732-0038,he paused then added with modest firmness,He paused and added with a modest firmness.,0.2857,0.0326
tiny.en,1988-24833-0017,i hear the t v going for a few minutes then pop turns it off and goes in the kitchen to talk to mom,"I hear the TV going for a few minutes, then pop turns it off and goes in the kitchen to talk to mom.",0.0833,0.0525
tiny.en,5536-43363-0003,giving themselves up wholly to their grief they are no longer concerned about any earthly possession and often give away all that they have to the first comers even to their beds and their home,Giving themselves a polly to their grief. They are no longer concerned about any earthly possession and often give away all that they have to the first comers even to their beds and their home.,0.0571,0.0853
tiny.en,652-129742-0017,handles of watercress may be attached to these baskets,Handles of watercress may be attached to these baskets.,0.0000,0.0361
tiny.en,5895-34622-0000,what true things are told in stories,What true things are told in stories?,0.0000,0.0485
tiny.en,2412-153954-0012,the country was highly cultivated every ledge being planted with chestnuts walnuts and apple trees from which the apples were now gathering,"The country was highly cultivated every ledge being planted with chestnuts, walnuts, and apple trees, from which the apples were now gathering.",0.0000,0.0650
tiny.en,777-126732-0001,then why indulge in prophetic phantasies,and why indulge in prophetic fantasies.,0.3333,0.0283
tiny.en,6241-66616-0015,but each week added to his loneliness and his longings for minnetaki and his forests,but each week added to his loneliness and his longings for Minnetalki and his forests.,0.0667,0.0460
tiny.en,7976-105575-0028,for some reason the dead at hatchie bridge were not buried,"For some reason, the dead at Hatchee Bridge were not buried.",0.0909,0.0660
tiny.en,2902-9008-0016,and why should that disturb me let him enter,And why should that disturb me? Let him enter.,0.0000,0.0338
tiny.en,1272-128104-0011,in fact he is quite severe on mister ruskin for not recognising that a picture should denote the frailty of man and remarks with pleasing courtesy and felicitous grace that many phases of feeling,"In fact, he is quite severe on Mr. Ruskin for not recognizing that a picture should denote the frailty of man. And remarks with pleasing courtesy and felicitous grace that many faces are feeling.",0.1176,0.0906
tiny.en,2078-142845-0049,illustration rusks,"illustration, rusks.",0.0000,0.0271
tiny.en,8842-302201-0010,the first part is divided into four,The first part is divided into four.,0.0000,0.0292
tiny.en,3536-23268-0001,every time he beheld the object of his passion for he still continued his visits though not so frequently as heretofore he pleaded his cause with such ardour that miss woodley who was sometimes present and ever compassionate could not resist wishing him success,"Every time he beheld the object of his passion, for he still continued his visits, though not so frequently as here to four, he pleaded his cause with such ardor that Miss Woodley, who was sometimes present and ever compassionate, could not resist wishing him success.",0.0909,0.1302
tiny.en,3752-4943-0019,what does he care care,What does he care? Care.,0.0000,0.0515
tiny.en,6345-64257-0014,he came to her side and she gave him no greeting,He came to her side and she gave him no greeting.,0.0000,0.0458
tiny.en,3576-138058-0015,he was mounted upon a powerful horse and had on a coat of mail with four of the pistols they call petronels in that country at his waist,He was mounted upon a powerful horse and had on a coat of mail with four of the pistols they called patternells in that country at his waist.,0.0714,0.1282
tiny.en,3752-4944-0055,this is murderous,This is murderous.,0.0000,0.0225
tiny.en,6295-64301-0005,blessed am i here now my god and blessed shall i be there then,"Blessed am I here now, my God, and blessed shall I be there then.",0.0000,0.0418
tiny.en,2412-153947-0016,this however may not be for the copyright will probably expire in a little over twelve years,This however may not be for the copyright will probably expire in a little over 12 years.,0.0588,0.0428
tiny.en,8297-275154-0016,i haven't courage enough to do it for myself,I haven't courage enough to do it for myself.,0.0000,0.0329
tiny.en,5694-64038-0021,you see jim knowed the law,"You see, Jim knows the law.",0.1667,0.0293
tiny.en,6319-64726-0004,now fifteen years after the princess was born she was with the king and queen at one of their castles and as she was running about by herself she came to a little chamber at the top of a tower and there sat an honest old woman spinning for she had never heard of the king's edict,"Now fifteen years after the princess was born, she was with the king and queen at one of their castles, and as she was running about by herself, she came to a little chamber at the top of a tower, and there sat an uninstalled woman spinning, but she had never heard of the king's edict.",0.0526,0.1536
tiny.en,2086-149220-0041,she was indistinctly aware however that the gaunt figure of the old gentlewoman was sitting in one of the straight backed chairs a little withdrawn from the window the faint gleam of which showed the blanched paleness of her cheek turned sideways towards a corner,"She was indistinctly aware, however, that the gaunt figure of the old gentle woman was sitting in one of the straight back chairs, a little withdrawn from the window, the faint gleam of which showed the blanched paleness of her cheek, turned sideways towards the corner.",0.0889,0.1095
tiny.en,3853-163249-0054,all watched with quickened breath and proud souls that living wave blue below and bright with a steely glitter above as it flowed down the street and away to join the sea of dauntless hearts that for months had rolled up against the south and ebbed back reddened with the blood of men like these,"I'll watch with quickened breath and proud souls that living wave blew below and bright with a steely glitter above as it flowed down the street in a way to join the sea of don'tless hearts that for months had rolled up against the south and ebbed back, reddened with the blood of men like these.",0.1273,0.1759
